               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.046695,            0.023289,            0.026651,             0.12896,             0.44167,             0.20504,            0.097906,            0.029433,            0.018643,            0.019566,            0.031698,           0.0046983,           0.0046983
                  37,             0.03484,            0.025099,            0.026991,             0.13138,             0.48333,             0.21803,            0.094042,            0.030868,            0.017992,            0.019749,            0.029753,           0.0047528,           0.0047528
                  38,            0.031804,            0.022082,            0.026817,             0.16044,             0.43854,             0.20501,            0.085348,            0.032235,            0.017062,            0.020237,            0.027803,           0.0048033,           0.0048033
                  39,            0.036079,            0.020927,            0.025087,             0.16044,             0.43854,             0.20501,            0.085348,            0.032235,            0.017062,            0.020237,             0.02585,           0.0048498,           0.0048498
                  40,            0.034125,            0.021176,            0.025132,             0.14499,             0.37083,             0.19216,            0.083376,            0.032232,            0.016887,            0.020569,            0.023892,           0.0048924,           0.0048924
                  41,            0.046412,             0.02127,            0.031276,             0.22495,              0.5375,             0.25918,             0.12754,             0.02724,            0.017436,            0.020903,            0.021931,            0.004931,            0.004931
                  42,            0.039463,             0.02465,             0.02578,             0.22495,              0.5375,             0.25918,             0.12754,             0.02724,            0.017436,            0.020903,            0.019966,           0.0049657,           0.0049657
                  43,            0.047981,            0.017941,            0.033228,             0.21355,             0.60436,             0.25704,             0.12923,            0.026149,             0.01777,             0.02178,            0.017996,           0.0049964,           0.0049964
                  44,            0.030376,            0.019187,            0.024227,             0.21355,             0.60436,             0.25704,             0.12923,            0.026149,             0.01777,             0.02178,            0.016023,           0.0050232,           0.0050232
                  45,            0.036862,             0.02101,            0.026541,             0.42822,              0.5125,             0.21657,            0.076899,             0.03159,            0.017166,            0.021696,            0.014046,            0.005046,            0.005046
                  46,            0.052442,            0.016549,            0.055818,             0.42822,              0.5125,             0.21657,            0.076899,             0.03159,            0.017166,            0.021696,            0.012065,           0.0050648,           0.0050648
                  47,            0.045633,            0.020986,            0.033076,             0.22963,             0.31931,             0.25967,             0.13434,            0.036236,            0.016804,            0.021613,             0.01008,           0.0050797,           0.0050797
                  48,            0.044978,             0.01956,            0.047245,             0.22963,             0.31931,             0.25967,             0.13434,            0.036236,            0.016804,            0.021613,           0.0080906,           0.0050906,           0.0050906
                  49,             0.05112,            0.020913,            0.025476,             0.20807,             0.24583,             0.30234,             0.15485,            0.034036,            0.016974,            0.021315,           0.0060975,           0.0050975,           0.0050975
                  50,            0.034132,            0.016818,            0.024002,             0.20807,             0.24583,             0.30234,             0.15485,            0.034036,            0.016974,            0.021315,             0.00505,             0.00505,             0.00505
                  51,            0.035069,            0.021448,            0.023968,              0.1537,             0.24583,             0.23556,             0.10435,            0.030666,            0.017514,            0.021854,             0.00505,             0.00505,             0.00505
                  52,            0.059776,            0.020237,            0.025166,              0.1537,             0.24583,             0.23556,             0.10435,            0.030666,            0.017514,            0.021854,            0.004951,            0.004951,            0.004951
                  53,            0.037955,            0.017722,             0.02285,             0.49171,             0.24583,             0.30973,              0.1284,            0.035089,            0.016662,            0.022218,            0.004852,            0.004852,            0.004852
                  54,            0.050644,            0.020923,            0.027189,             0.49171,             0.24583,             0.30973,              0.1284,            0.035089,            0.016662,            0.022218,            0.004753,            0.004753,            0.004753
                  55,            0.054651,            0.016784,            0.024081,             0.38694,             0.32917,             0.33282,             0.16744,            0.037189,            0.015871,            0.021732,            0.004654,            0.004654,            0.004654
                  56,            0.031434,              0.0168,            0.025328,             0.38694,             0.32917,             0.33282,             0.16744,            0.037189,            0.015871,            0.021732,            0.004555,            0.004555,            0.004555
